City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Cabo San Lucas,MX,22.8909,-109.9124,92.61,39,20,4.61,few clouds
152,Buta,CD,2.7858,24.73,72.5,91,29,0.81,light rain
153,Coquimbo,CL,-29.9533,-71.3436,61.25,75,13,7.11,few clouds
154,Rudbar,AF,30.15,62.6,66.07,47,96,23.0,light rain
155,Ponta Do Sol,PT,32.6667,-17.1,67.12,62,13,11.95,few clouds
156,Mesimerion,GR,40.412,23.0059,46.87,93,100,2.3,overcast clouds
157,Nicholasville,US,37.8806,-84.573,46.56,78,100,11.5,overcast clouds
158,Hami,CN,42.8,93.45,57.36,14,0,3.11,clear sky
159,Umea,SE,63.8284,20.2597,37.33,87,0,3.44,clear sky
160,Kosikha,RU,53.3617,84.5822,44.46,89,100,11.52,light rain
161,Weiser,US,44.251,-116.9693,57.87,51,100,5.01,overcast clouds
162,Leningradskiy,RU,69.3833,178.4167,11.52,90,99,3.96,overcast clouds
163,Hasaki,JP,35.7333,140.8333,52.2,78,100,14.9,overcast clouds
164,Goderich,CA,43.7501,-81.7165,46.9,45,100,16.11,overcast clouds
165,Sribne,UA,50.6638,32.9187,39.0,89,100,10.58,overcast clouds
166,San Rafael,AR,-34.6177,-68.3301,77.54,28,19,14.85,few clouds
167,Okhotsk,RU,59.3833,143.3,20.03,96,100,6.85,overcast clouds
168,Gwadar,PK,25.1216,62.3254,80.06,90,72,4.76,broken clouds
169,Batemans Bay,AU,-35.7167,150.1833,62.1,77,100,3.94,overcast clouds
170,Bethel,US,41.3712,-73.414,53.44,45,0,11.5,clear sky
171,Carlyle,US,38.6103,-89.3726,51.12,66,100,8.01,overcast clouds
172,Watsa,CD,3.0372,29.5355,65.25,95,16,3.31,few clouds
173,Tommot,RU,58.9564,126.2925,36.34,95,100,10.58,light rain
174,Tautira,PF,-17.7333,-149.15,80.01,75,31,8.63,scattered clouds
175,Port-Gentil,GA,-0.7193,8.7815,84.16,79,75,9.22,broken clouds
176,Olafsvik,IS,64.8945,-23.7142,42.48,64,11,7.34,few clouds
177,Saldanha,ZA,-33.0117,17.9442,64.45,78,0,9.82,clear sky
178,Springdale,US,36.1867,-94.1288,58.55,50,0,13.8,clear sky
179,Sur,OM,22.5667,59.5289,84.65,52,0,5.44,clear sky
180,Oudtshoorn,ZA,-33.5907,22.2014,55.76,78,2,3.67,clear sky
181,Santarem,BR,-2.4431,-54.7083,84.33,79,20,5.75,light rain
182,Araouane,ML,18.9048,-3.5265,81.01,9,0,8.84,clear sky
183,Chuy,UY,-33.6971,-53.4616,70.63,60,18,11.07,few clouds
184,Luderitz,NA,-26.6481,15.1594,77.16,37,1,11.43,clear sky
185,Sept-Iles,CA,50.2001,-66.3821,37.92,44,20,8.05,few clouds
186,Yellowknife,CA,62.456,-114.3525,21.72,38,75,8.05,broken clouds
187,Ixtapa,MX,20.7,-105.2,81.63,57,0,8.05,clear sky
188,Salinas,US,36.6777,-121.6555,63.82,49,0,5.75,clear sky
189,Ostrovnoy,RU,68.0531,39.5131,36.9,100,100,14.65,light rain
190,Townsville,AU,-19.25,146.8,70.68,83,6,6.91,clear sky
191,Lebu,CL,-37.6167,-73.65,57.79,87,100,5.73,overcast clouds
192,Iquitos,PE,-3.7481,-73.2472,77.04,100,75,6.91,broken clouds
193,Clyde River,CA,70.4692,-68.5914,-7.37,71,75,2.3,broken clouds
