City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
64,Ribeira Grande,PT,61.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
65,Mehamn,NO,40.98,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
66,Mareeba,AU,68.72,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
67,Lorengau,PG,82.36,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
68,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
69,Port Elizabeth,ZA,63.1,clear sky,-33.918,25.5701,39 On Nile Guest House
70,Kavaratti,IN,84.22,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
71,Port Hedland,AU,82.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
73,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
74,Carnarvon,AU,68.07,few clouds,-24.8667,113.6333,Hospitality Carnarvon
75,Kapaa,US,75.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
78,Chicama,PE,63.14,broken clouds,-7.8447,-79.1469,Balihai Bungalows
79,Punta Arenas,CL,51.91,broken clouds,-53.15,-70.9167,Hotel Hain
80,New Norfolk,AU,52.72,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
81,Eureka,US,57.36,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
82,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
83,Jeremie,HT,80.55,scattered clouds,18.65,-74.1167,Auberge’Inn
84,Vangaindrano,MG,74.66,light rain,-23.35,47.6,Hotel Fanilo
85,Komsomolskiy,UZ,70.52,overcast clouds,40.4272,71.7189,Ikathouse
87,Manoel Urbano,BR,84.99,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
88,Fortuna,US,57.09,light rain,40.5982,-124.1573,Super 8 by Wyndham Fortuna
89,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
91,Dodge City,US,56.25,scattered clouds,37.7528,-100.0171,Windsor Inn & Suites
92,Umm Lajj,SA,85.87,overcast clouds,25.0213,37.2685,Moon light Furnished Units
93,Dwarka,IN,80.62,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
95,Dunedin,NZ,52.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
